envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
488	5592000	5616000	5856000	5376000	5736000	5376000	
489	5589000	5613000	5853000	5373000	5733000	5373000	
490	5586000	5610000	5850000	5370000	5730000	5370000	
491	5607000	5607000	5847000	5367000	5727000	5487000	
492	5604000	5604000	5844000	5364000	5724000	5484000	
493	5601000	5601000	5841000	5361000	5721000	5481000	
494	5598000	5598000	5838000	5358000	5718000	5478000	
495	5643000	5595000	5835000	5475000	5835000	5475000	
496	5664000	5592000	5952000	5472000	5832000	5472000	
497	5709000	5709000	5949000	5469000	5949000	5469000	
498	5730000	5706000	5946000	5586000	5946000	5466000	
499	5775000	5823000	6063000	5583000	5943000	5463000	
500	5844000	5940000	6060000	5700000	6060000	5460000	
501	5889000	5937000	6177000	5817000	6057000	5457000	
502	5934000	5934000	6174000	5934000	6174000	5454000	
503	5955000	6051000	6171000	5931000	6171000	5451000	
504	5952000	6048000	6168000	5928000	6168000	5448000	
505	5949000	6045000	6165000	5925000	6165000	5445000	
506	5946000	6042000	6162000	5922000	6162000	5442000	
507	5943000	6039000	6159000	5919000	6159000	5439000	
508	5940000	6036000	6156000	5916000	6156000	5436000	
509	5937000	6033000	6153000	5913000	6153000	5433000	
510	5982000	6150000	6270000	5910000	6150000	5430000	
511	5979000	6147000	6267000	5907000	6147000	5427000	
512	5976000	6144000	6264000	5904000	6144000	5424000	
513	6021000	6141000	6261000	5901000	6261000	5541000	
514	6018000	6138000	6258000	5898000	6258000	5538000	
515	6063000	6135000	6375000	6015000	6255000	5535000	
516	6060000	6132000	6372000	6012000	6252000	5532000	
517	6057000	6129000	6369000	6009000	6249000	5529000	
518	6078000	6126000	6366000	6006000	6246000	5646000	
519	6099000	6123000	6363000	6123000	6243000	5643000	
520	6096000	6120000	6360000	6120000	6240000	5640000	
521	6117000	6117000	6357000	6117000	6237000	5757000	
522	6114000	6114000	6354000	6114000	6234000	5754000	
523	6111000	6111000	6351000	6111000	6231000	5751000	
524	6156000	6108000	6348000	6108000	6348000	5868000	
525	6153000	6105000	6345000	6105000	6345000	5865000	
526	6150000	6102000	6342000	6102000	6342000	5862000	
527	6147000	6099000	6339000	6099000	6339000	5859000	
528	6144000	6096000	6336000	6096000	6336000	5856000	
529	6165000	6213000	6333000	6093000	6333000	5853000	
530	6186000	6330000	6330000	6090000	6330000	5850000	
531	6255000	6327000	6447000	6207000	6447000	5847000	
532	6252000	6324000	6444000	6204000	6444000	5844000	
533	6273000	6321000	6441000	6201000	6561000	5841000	
534	6294000	6318000	6438000	6198000	6678000	5838000	
535	6315000	6315000	6555000	6195000	6675000	5835000	
536	6312000	6312000	6552000	6192000	6672000	5832000	
537	6333000	6429000	6549000	6189000	6669000	5829000	
538	6354000	6426000	6546000	6186000	6786000	5826000	
539	6351000	6423000	6543000	6183000	6783000	5823000	
540	6348000	6420000	6540000	6180000	6780000	5820000	
541	6369000	6417000	6537000	6297000	6777000	5817000	
542	6414000	6414000	6534000	6414000	6894000	5814000	
543	6411000	6411000	6531000	6411000	6891000	5811000	
544	6456000	6408000	6528000	6528000	6888000	5928000	
545	6453000	6405000	6525000	6525000	6885000	5925000	
546	6450000	6402000	6522000	6522000	6882000	5922000	
